Fresh Brew Coffee,4.8(494) · $,Cafe · 882 Bush St,"Cozy, American-Vietnamese sandwich spot",Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
FRONT EXHIBITS & CAFE,4.7(30),Coffee shop · 498 Alabama St,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri,
Fueling Station Cafe,4.6(213) · $,Cafe · 2436 Polk St,"Cafe for banh mi, waffles & coffee",Open ⋅ Closes 5 PM
Goody Cafe,4.4(76),"Coffee shop · Landmark Building C, 2 Marina Blvd",Open ⋅ Closes 5 PM,
Graffeo Coffee Roasting Co.,4.7(69),Coffee shop · 735 Columbus Ave,Coffeehouse with signature roasts,Open ⋅ Closes 5 PM
Graffeo Coffee Roasting Co.,4.7(69),Coffee store · 735 Columbus Ave,Coffeehouse with signature roasts,Open ⋅ Closes 5 PM
Grand Coffee,4.7(157) · $,Coffee shop · 2663 Mission St,"Locally sourced coffee, tea & pastries",Open ⋅ Closes 5 PM
Hedge Coffee,4.8(76),Coffee shop · 434 Shotwell St,,
Henry's House of Coffee,4.6(406) · $,Coffee shop · 1618 Noriega St,Area stalwart with hand-roasted beans,Open ⋅ Closes 5 PM
Hermanos Coffee + Juice,4.7(26),Coffee shop · 650 California St,Temporarily closed,
Hideaway Cafe,4.7(182),Laundry · 850 Jones St,Closed ⋅ Opens 8 AM Fri,
Higher Grounds Coffee House,4.6(273) · $$,Cafe · 691 Chenery St,Chill cafe with a neighborhood vibe,Open ⋅ Closes 3 PM
HITW Coffee,4.7(196) · $,Coffee shop · 524 Union St,Closed ⋅ Opens 9 AM Sat,
Hollywood Cafe,"4.5(2,139) · $$",Cafe · 530 North Point St,Cinema-themed cafe,Closed ⋅ Opens 8 AM Fri
Home Coffee Roasters,4.7(338) · $,Coffee shop · 455 Grant Ave,Open ⋅ Closes 4 PM,
Honey Honey Cafe & Crepery,"4.3(3,370) · $$",Cafe · 599 Post St,Sweet & savory crêpe specialist,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Hyatt Coffee Bar,3.7(32),Coffee shop · 345 Stockton St,Modern hotel lobby cafe with free Wi-Fi,Closed ⋅ Opens 6:30 AM Fri
Hyatt Regency Cafe,5.0(4),"Coffee shop · Hyatt Regency San Francisco, 5 Embarcadero Ctr",,
Il Canto Cafe,4.7(280) · $,Cafe · 475 Sacramento St,Mellow option with coffee & light fare,Open ⋅ Closes 4 PM
Iron Horse Coffee Shop,4.4(107) · $,Coffee shop · 25 Maiden Ln,"Snug, modern coffee shop",Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri
Jackson Place Café,4.6(73) · $,Coffee shop · 633 Battery St,Breakfast & lunch kiosk with a courtyard,Closes soon ⋅ 2:30 PM ⋅ Opens 8:30 AM Tue
Jane on Larkin,4.4(632) · $$,Coffee shop · 925 Larkin St,"Hip cafe with sandwiches, coffee & more",Open ⋅ Closes 4 PM
Javalencia,4.3(73),Coffee shop · 1594 Market St,Open ⋅ Closes 3 PM,
Javalencia,4.3(73),Cafe · 1594 Market St,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri,
Joy's Place,4.3(388) · $,Coffee shop · 611 Post St,Cozy coffee shop with Asian desserts,Open ⋅ Closes 8 PM
