0,1
Angel Cafe & Deli,Really good coffee and bagels! Prices are reasonable and the staff are very friendly. Good ambiance.  Luv it y'all.
Angel Cafe & Deli,"Very rich coffee and pastry, I thought it was cheap in relation to price - quality . I recommend!"
Angel Cafe & Deli,The taste is good and the coffee is cheap. I like to eat it with a bagel and potato salad.
Angel Cafe & Deli,Very good desserts and at a very good price. recommendable
Angel Cafe & Deli,Simple but very friendly and welcoming cafe
Angel Cafe & Deli,Excellent place for breakfast
Angel Cafe & Deli,Delicious 👍🏼
Angel Cafe & Deli,We appreciate your feedback Corinne we hope to see you soon
Angel Cafe & Deli,Great service and espressos
Angel Cafe & Deli,We appreciate you Herson  Thank you for your support 
Angel Cafe & Deli,Thank you for your business and we hope we can improve our service in the future
Angel Cafe & Deli,We appreciate your business Ivan thank you
Angel Cafe & Deli,We appreciate your awesome feedback Oscar
Angel Cafe & Deli,A1
Angel Cafe & Deli,I like it a lot 👍👍👍👍
Angel Cafe & Deli,Thank you Alex
Angel Cafe & Deli,Thank you
Angel Cafe & Deli,We appreciate your business Raleigh
Angel Cafe & Deli,Thank You Lea we appreciate your business
Angel Cafe & Deli,Thank you for your business Amit
Angel Cafe & Deli,Thank you Meg we appreciate your awesome business
Angel Cafe & Deli,We appreciate your awesome business thank You Ana
Angel Cafe & Deli,Thank you Sagar
Angel Cafe & Deli,Thank you
Angel Cafe & Deli,Thank You Wyatt
Angel Cafe & Deli,We appreciate your awesome business thank you
Angel Cafe & Deli,Thank you Kiwi
Angel Cafe & Deli,Thank you Caroline we appreciate your business
Angel Cafe & Deli,Thank you Pietro
