id,name,rating,address,description,openclose
113,Joy's Place,4.3(388) · $,611 Post St,Cozy coffee shop with Asian desserts,
114,La Promenade Café,4.5(427) · $,3643 Balboa St,"Airy space for coffee, bagels & lunch",Open ⋅ Closes 8 PM
115,Lady Falcon Coffee Club,4.3(87),Park,Vintage coffee truck for espresso drinks,Open ⋅ Closes 5 PM
116,Lafayette Coffee Shop,4.2(206) · $,611 Larkin St,Open ⋅ Closes 9 PM,Open ⋅ Closes 3 PM
117,Le Cafe du Soleil,4.5(539) · $,400 Waller St,French bistro with sidewalk seating,
118,Le Petit Cafe,4.3(8) · $,1 Maritime Plz # Grnd,Counter serve for breakfast & lunch fare,Open ⋅ Closes 5 PM
119,Linea Caffe,4.5(334) · $$,3417 18th St,Snug cafe offering organic coffees,Closed ⋅ Opens 8 AM Fri
120,Maggie's Cafe,3.1(104),848 Grant Ave,Open ⋅ Closes 4 PM,Closes soon ⋅ 2 PM ⋅ Opens 7 AM Fri
121,Martha & Brothers Coffee Company,4.5(294) · $,3868 24th St,Low-key stop for coffee & baked goods,
122,Matching Half,4.5(376) · $$,1799 McAllister St,Arty coffee shop with light fare,Open ⋅ Closes 7:30 PM
123,Mazarine Coffee,"4.5(1,511) · $$",720 Market St,Stylish cafe for espresso & light bites,Open ⋅ Closes 3 PM
124,Mercury Cafe,4.3(309) · $$,201 Octavia St,Light-filled space with an organic menu,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
125,Milk-SF,4.7(76),302 Valencia St,Open ⋅ Closes 4 PM,Open ⋅ Closes 3 PM
126,Mission Blue,5.0(145),144 Leland Ave,Modern retail shop for coffee & pastries,
127,Morning Brew Coffee & Tea,3.6(20) · $$,401 Sansome St,Unassuming stop for banh mi & espresso,Open ⋅ Closes 3 PM
128,Mo'z Cafe,"4.2(1,162) · $$",36 5th St,Neighborhood cafe known for breakfast,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
129,Muddy Waters Coffee House,4.1(292) · $,521 Valencia St,No-frills coffee shop,Closed ⋅ Opens 6 AM Fri
130,Müesi Cafe,4.5(119),2055 Union St Suite B,Open ⋅ Closes 5:30 PM,Open ⋅ Closes 3 PM
